Range lower,Range upper,Name EN,Name FR,PDF URL,Unicode version,Year
A4D0,A4FF,Lisu,Lissou,https://web.archive.org/web/20190613203106/https://www.unicode.org/charts/PDF/UA4D0.pdf,12.1,2019
A500,A63F,Vai,Vaï,https://web.archive.org/web/20190613202649/https://www.unicode.org/charts/PDF/UA500.pdf,12.1,2019
A640,A69F,Cyrillic Extended-B,Cyrillique étendu B,https://web.archive.org/web/20190613202457/https://www.unicode.org/charts/PDF/UA640.pdf,12.1,2019
A6A0,A6FF,Bamum,Bamoun,https://web.archive.org/web/20190613202617/https://www.unicode.org/charts/PDF/UA6A0.pdf,12.1,2019
A700,A71F,Modifier Tone Letters,Lettres modificatives de ton,https://web.archive.org/web/20190613202601/https://www.unicode.org/charts/PDF/UA700.pdf,12.1,2019
A720,A7FF,Latin Extended-D,Latin étendu D,https://web.archive.org/web/20190613202527/https://www.unicode.org/charts/PDF/UA720.pdf,12.1,2019
A800,A82F,Syloti Nagri,Sylotî nâgrî,https://web.archive.org/web/20190613202850/https://www.unicode.org/charts/PDF/UA800.pdf,12.1,2019
A830,A83F,Common Indic Number Forms,Formes numérales communes indiennes,https://web.archive.org/web/20190613203216/https://www.unicode.org/charts/PDF/UA830.pdf,12.1,2019
A840,A87F,Phags-pa,’Phags pa,https://web.archive.org/web/20190613202745/https://www.unicode.org/charts/PDF/UA840.pdf,12.1,2019
A880,A8DF,Saurashtra,Saurachtra,https://web.archive.org/web/20190613202840/https://www.unicode.org/charts/PDF/UA880.pdf,12.1,2019
A8E0,A8FF,Devanagari Extended,Devanāgarī étendu,https://web.archive.org/web/20190613202803/https://www.unicode.org/charts/PDF/UA8E0.pdf,12.1,2019
A900,A92F,Kayah Li,Kayah-li,https://web.archive.org/web/20190613202910/https://www.unicode.org/charts/PDF/UA900.pdf,12.1,2019
A930,A95F,Rejang,Rejang,https://web.archive.org/web/20190613202944/https://www.unicode.org/charts/PDF/UA930.pdf,12.1,2019
A960,A97F,Hangul Jamo Extended-A,Jamos hangûl étendus A,https://web.archive.org/web/20190613203047/https://www.unicode.org/charts/PDF/UA960.pdf,12.1,2019
A980,A9DF,Javanese,Javanais,https://web.archive.org/web/20190613202941/https://www.unicode.org/charts/PDF/UA980.pdf,12.1,2019
A9E0,A9FF,Myanmar Extended-B,Birman étendu B,https://web.archive.org/web/20190613202919/https://www.unicode.org/charts/PDF/UA9E0.pdf,12.1,2019
AA00,AA5F,Cham,Cham,https://web.archive.org/web/20190613202907/https://www.unicode.org/charts/PDF/UAA00.pdf,12.1,2019
AA60,AA7F,Myanmar Extended-A,Birman étendu A,https://web.archive.org/web/20190613202918/https://www.unicode.org/charts/PDF/UAA60.pdf,12.1,2019
AA80,AADF,Tai Viet,Taï viêt,https://web.archive.org/web/20190613202931/https://www.unicode.org/charts/PDF/UAA80.pdf,12.1,2019
AAE0,AAFF,Meetei Mayek Extensions,Meitei mayek étendu,https://web.archive.org/web/20190613202828/https://www.unicode.org/charts/PDF/UAAE0.pdf,12.1,2019
AB00,AB2F,Ethiopic Extended-A,Éthiopien étendu A,https://web.archive.org/web/20190613202637/https://www.unicode.org/charts/PDF/UAB00.pdf,12.1,2019
AB30,AB6F,Latin Extended-E,Latin étendu E,https://web.archive.org/web/20190613202529/https://www.unicode.org/charts/PDF/UAB30.pdf,12.1,2019
AB70,ABBF,Cherokee Supplement,Supplément Cherokee,https://web.archive.org/web/20190613203124/https://www.unicode.org/charts/PDF/UAB70.pdf,12.1,2019
ABC0,ABFF,Meetei Mayek,Meitei mayek,https://web.archive.org/web/20190613202827/https://www.unicode.org/charts/PDF/UABC0.pdf,12.1,2019
AC00,D7AF,Hangul Syllables,Syllabes hangûles,https://web.archive.org/web/20190613203051/https://www.unicode.org/charts/PDF/UAC00.pdf,12.1,2019
D7B0,D7FF,Hangul Jamo Extended-B,Jamos hangûl étendus B,https://web.archive.org/web/20190613203049/https://www.unicode.org/charts/PDF/UD7B0.pdf,12.1,2019
D800,DBFF,High Surrogates,Zone haute d’indirection,https://web.archive.org/web/20190613203335/https://www.unicode.org/charts/PDF/UD800.pdf,12.1,2019
DC00,DFFF,Low Surrogates,Zone basse d’indirection,https://web.archive.org/web/20190613203337/https://www.unicode.org/charts/PDF/UDC00.pdf,12.1,2019
E000,F8FF,Private Use Area,Zone à usage privé,https://web.archive.org/web/20190613203327/https://www.unicode.org/charts/PDF/UE000.pdf,12.1,2019
F900,FAFF,CJK Compatibility Ideographs,Idéogrammes de compatibilité CJC,https://web.archive.org/web/20190613203032/https://www.unicode.org/charts/PDF/UF900.pdf,12.1,2019
FB00,FB4F,Alphabetic Presentation Forms,Formes de présentation alphabétiques,https://web.archive.org/web/20190613202446/https://www.unicode.org/charts/PDF/UFB00.pdf,12.1,2019
FB50,FDFF,Arabic Presentation Forms-A,Formes de présentation arabes A,https://web.archive.org/web/20190613202659/https://www.unicode.org/charts/PDF/UFB50.pdf,12.1,2019
FE00,FE0F,Variation Selectors,Sélecteurs de variante,https://web.archive.org/web/20190613203323/https://www.unicode.org/charts/PDF/UFE00.pdf,12.1,2019
FE10,FE1F,Vertical Forms,Formes verticales,https://web.archive.org/web/20190613203153/https://www.unicode.org/charts/PDF/UFE10.pdf,12.1,2019
FE20,FE2F,Combining Half Marks,Demi-signes combinatoires,https://web.archive.org/web/20190613202614/https://www.unicode.org/charts/PDF/UFE20.pdf,12.1,2019
FE30,FE4F,CJK Compatibility Forms,Formes de compatibilité CJC,https://web.archive.org/web/20190613203149/https://www.unicode.org/charts/PDF/UFE30.pdf,12.1,2019
FE50,FE6F,Small Form Variants,Petites variantes de forme,https://web.archive.org/web/20190613203151/https://www.unicode.org/charts/PDF/UFE50.pdf,12.1,2019
FE70,FEFF,Arabic Presentation Forms-B,Formes de présentation arabes B,https://web.archive.org/web/20190613202701/https://www.unicode.org/charts/PDF/UFE70.pdf,12.1,2019
FF00,FFEF,Halfwidth and Fullwidth Forms,Formes de demi et pleine chasse,https://web.archive.org/web/20190613202533/https://www.unicode.org/charts/PDF/UFF00.pdf,12.1,2019
FFF0,FFFF,Specials,Caractères spéciaux,https://web.archive.org/web/20190613203320/https://www.unicode.org/charts/PDF/UFFF0.pdf,12.1,2019
10000,1007F,Linear B Syllabary,Syllabaire linéaire B,https://web.archive.org/web/20190613202543/https://www.unicode.org/charts/PDF/U10000.pdf,12.1,2019
10080,100FF,Linear B Ideograms,Idéogrammes du linéaire B,https://web.archive.org/web/20190613202544/https://www.unicode.org/charts/PDF/U10080.pdf,12.1,2019
10100,1013F,Aegean Numbers,Nombres égéens,https://web.archive.org/web/20190613202546/https://www.unicode.org/charts/PDF/U10100.pdf,12.1,2019
10140,1018F,Ancient Greek Numbers,Nombres grecs anciens,https://web.archive.org/web/20190613202515/https://www.unicode.org/charts/PDF/U10140.pdf,12.1,2019
10190,101CF,Ancient Symbols,Symboles anciens,https://web.archive.org/web/20190613203156/https://www.unicode.org/charts/PDF/U10190.pdf,12.1,2019
101D0,101FF,Phaistos Disc,Disque de Phaïstos,https://web.archive.org/web/20190613202556/https://www.unicode.org/charts/PDF/U101D0.pdf,12.1,2019
10280,1029F,Lycian,Lycien,https://web.archive.org/web/20190613202547/https://www.unicode.org/charts/PDF/U10280.pdf,12.1,2019
102A0,102DF,Carian,Carien,https://web.archive.org/web/20190613202447/https://www.unicode.org/charts/PDF/U102A0.pdf,12.1,2019
102E0,102FF,Coptic Epact Numbers,Nombres épactes coptes,https://web.archive.org/web/20190613202626/https://www.unicode.org/charts/PDF/U102E0.pdf,12.1,2019
10300,1032F,Old Italic,Alphabet italique,https://web.archive.org/web/20190613202553/https://www.unicode.org/charts/PDF/U10300.pdf,12.1,2019
10330,1034F,Gothic,Gotique,https://web.archive.org/web/20190613202510/https://www.unicode.org/charts/PDF/U10330.pdf,12.1,2019
10350,1037F,Old Permic,Ancien permien,https://web.archive.org/web/20190613202555/https://www.unicode.org/charts/PDF/U10350.pdf,12.1,2019
10380,1039F,Ugaritic,Ougaritique,https://web.archive.org/web/20190613202713/https://www.unicode.org/charts/PDF/U10380.pdf,12.1,2019
103A0,103DF,Old Persian,Vieux perse,https://web.archive.org/web/20190613202711/https://www.unicode.org/charts/PDF/U103A0.pdf,12.1,2019
10400,1044F,Deseret,Déséret,https://web.archive.org/web/20190613203125/https://www.unicode.org/charts/PDF/U10400.pdf,12.1,2019
10450,1047F,Shavian,Shavien,https://web.archive.org/web/20190613202600/https://www.unicode.org/charts/PDF/U10450.pdf,12.1,2019
10480,104AF,Osmanya,Osmanya,https://web.archive.org/web/20190613202646/https://www.unicode.org/charts/PDF/U10480.pdf,12.1,2019
104B0,104FF,Osage,Osage,https://web.archive.org/web/20190613203127/https://www.unicode.org/charts/PDF/U104B0.pdf,12.1,2019
10500,1052F,Elbasan,Elbasan,https://web.archive.org/web/20190613202501/https://www.unicode.org/charts/PDF/U10500.pdf,12.1,2019
10530,1056F,Caucasian Albanian,Aghbanien,https://web.archive.org/web/20190613202449/https://www.unicode.org/charts/PDF/U10530.pdf,12.1,2019
10600,1077F,Linear A,Linéaire A,https://web.archive.org/web/20190613202541/https://www.unicode.org/charts/PDF/U10600.pdf,12.1,2019
10800,1083F,Cypriot Syllabary,Syllabaire chypriote,https://web.archive.org/web/20190613202451/https://www.unicode.org/charts/PDF/U10800.pdf,12.1,2019
10840,1085F,Imperial Aramaic,Araméen impérial,https://web.archive.org/web/20190613202702/https://www.unicode.org/charts/PDF/U10840.pdf,12.1,2019
