char,name
ᔍ,Syllabe canadienne stoua naskapi
ᔎ,Syllabe canadienne skoua naskapi
ᔏ,Syllabe canadienne stchoua naskapi
ᔐ,Syllabe canadienne ché
ᔑ,Syllabe canadienne chi
ᔒ,Syllabe canadienne chî
ᔓ,Syllabe canadienne cho
ᔔ,Syllabe canadienne chô
ᔕ,Syllabe canadienne cha
ᔖ,Syllabe canadienne châ
ᔗ,Syllabe canadienne choué
ᔘ,Syllabe canadienne choué cri des plaines
ᔙ,Syllabe canadienne choui
ᔚ,Syllabe canadienne choui cri des plaines
ᔛ,Syllabe canadienne chouî
ᔜ,Syllabe canadienne chouî cri des plaines
ᔝ,Syllabe canadienne chouo
ᔞ,Syllabe canadienne chouo cri des plaines
ᔟ,Syllabe canadienne chouô
ᔠ,Syllabe canadienne chouô cri des plaines
ᔡ,Syllabe canadienne choua
ᔢ,Syllabe canadienne choua cri des plaines
ᔣ,Syllabe canadienne chouâ
ᔤ,Syllabe canadienne chouâ cri des plaines
ᔥ,Syllabe canadienne ch
ᔦ,Syllabe canadienne yé
ᔧ,Syllabe canadienne yâï
ᔨ,Syllabe canadienne yi
ᔩ,Syllabe canadienne yî
ᔪ,Syllabe canadienne yo
ᔫ,Syllabe canadienne yô
ᔬ,Syllabe canadienne yô cri-y
ᔭ,Syllabe canadienne ya
ᔮ,Syllabe canadienne yâ
ᔯ,Syllabe canadienne youé
ᔰ,Syllabe canadienne youé cri des plaines
ᔱ,Syllabe canadienne youi
ᔲ,Syllabe canadienne youi cri des plaines
ᔳ,Syllabe canadienne youî
ᔴ,Syllabe canadienne youî cri des plaines
ᔵ,Syllabe canadienne youo
ᔶ,Syllabe canadienne youo cri des plaines
ᔷ,Syllabe canadienne youô
ᔸ,Syllabe canadienne youô cri des plaines
ᔹ,Syllabe canadienne youa
ᔺ,Syllabe canadienne youa cri des plaines
ᔻ,Syllabe canadienne youâ
ᔼ,Syllabe canadienne youâ cri des plaines
ᔽ,Syllabe canadienne youâ naskapi
ᔾ,Syllabe canadienne y
ᔿ,Syllabe canadienne y cri biblique
ᕀ,Syllabe canadienne y cri des plaines
ᕁ,Syllabe canadienne yi sayissi
ᕂ,Syllabe canadienne ré
ᕃ,Syllabe canadienne ré cri-r
ᕄ,Syllabe canadienne lé cri des plaines
ᕅ,Syllabe canadienne râï
ᕆ,Syllabe canadienne ri
ᕇ,Syllabe canadienne rî
ᕈ,Syllabe canadienne ro
ᕉ,Syllabe canadienne rô
ᕊ,Syllabe canadienne lo cri des plaines
ᕋ,Syllabe canadienne ra
ᕌ,Syllabe canadienne râ
ᕍ,Syllabe canadienne la cri des plaines
ᕎ,Syllabe canadienne rouâ
ᕏ,Syllabe canadienne rouâ cri des plaines
ᕐ,Syllabe canadienne r
ᕑ,Syllabe canadienne r cri des plaines
ᕒ,Syllabe canadienne r médial
ᕓ,Syllabe canadienne fé
ᕔ,Syllabe canadienne fâï
ᕕ,Syllabe canadienne fi
ᕖ,Syllabe canadienne fî
ᕗ,Syllabe canadienne fo
ᕘ,Syllabe canadienne fô
ᕙ,Syllabe canadienne fa
ᕚ,Syllabe canadienne fâ
ᕛ,Syllabe canadienne fouâ
ᕜ,Syllabe canadienne fouâ cri des plaines
ᕝ,Syllabe canadienne f
ᕞ,Syllabe canadienne thé
ᕟ,Syllabe canadienne thé cri-n
ᕠ,Syllabe canadienne thi
ᕡ,Syllabe canadienne thi cri-n
ᕢ,Syllabe canadienne thî
ᕣ,Syllabe canadienne thî cri-n
ᕤ,Syllabe canadienne tho
ᕥ,Syllabe canadienne thô
ᕦ,Syllabe canadienne tha
ᕧ,Syllabe canadienne thâ
ᕨ,Syllabe canadienne thouâ
ᕩ,Syllabe canadienne thouâ cri des plaines
ᕪ,Syllabe canadienne th
ᕫ,Syllabe canadienne tthé
ᕬ,Syllabe canadienne tthi
ᕭ,Syllabe canadienne ttho
ᕮ,Syllabe canadienne ttha
ᕯ,Syllabe canadienne tth
ᕰ,Syllabe canadienne tyé
ᕱ,Syllabe canadienne tyi
ᕲ,Syllabe canadienne tyo
ᕳ,Syllabe canadienne tya
ᕴ,Syllabe canadienne hé du nunavik
ᕵ,Syllabe canadienne hi du nunavik
ᕶ,Syllabe canadienne hî du nunavik
ᕷ,Syllabe canadienne ho du nunavik
ᕸ,Syllabe canadienne hô du nunavik
ᕹ,Syllabe canadienne ha du nunavik
ᕺ,Syllabe canadienne hâ du nunavik
ᕻ,Syllabe canadienne h du nunavik
ᕼ,Syllabe canadienne h du nunavut
ᕽ,Syllabe canadienne hk
ᕾ,Syllabe canadienne qâï
ᕿ,Syllabe canadienne qi
ᖀ,Syllabe canadienne qî
ᖁ,Syllabe canadienne qo
ᖂ,Syllabe canadienne qô
ᖃ,Syllabe canadienne qa
ᖄ,Syllabe canadienne qâ
ᖅ,Syllabe canadienne q
ᖆ,Syllabe canadienne tlhé
ᖇ,Syllabe canadienne tlhi
ᖈ,Syllabe canadienne tlho
ᖉ,Syllabe canadienne tlha
ᖊ,Syllabe canadienne ré cri des plaines
ᖋ,Syllabe canadienne ri cri des plaines
ᖌ,Syllabe canadienne ro cri des plaines
ᖍ,Syllabe canadienne ra cri des plaines
ᖎ,Syllabe canadienne ngâï
ᖏ,Syllabe canadienne ngi
ᖐ,Syllabe canadienne ngî
ᖑ,Syllabe canadienne ngo
ᖒ,Syllabe canadienne ngô
ᖓ,Syllabe canadienne nga
ᖔ,Syllabe canadienne ngâ
ᖕ,Syllabe canadienne ng
ᖖ,Syllabe canadienne nng
ᖗ,Syllabe canadienne ché sayissi
ᖘ,Syllabe canadienne chi sayissi
ᖙ,Syllabe canadienne cho sayissi
ᖚ,Syllabe canadienne cha sayissi
ᖛ,Syllabe canadienne thé cri des bois
ᖜ,Syllabe canadienne thi cri des bois
ᖝ,Syllabe canadienne tho cri des bois
ᖞ,Syllabe canadienne tha cri des bois
ᖟ,Syllabe canadienne th cri des bois
ᖠ,Syllabe canadienne lhi
ᖡ,Syllabe canadienne lhî
ᖢ,Syllabe canadienne lho
ᖣ,Syllabe canadienne lhô
ᖤ,Syllabe canadienne lha
ᖥ,Syllabe canadienne lhâ
ᖦ,Syllabe canadienne lh
ᖧ,Syllabe canadienne thé cri-th
ᖨ,Syllabe canadienne thi cri-th
ᖩ,Syllabe canadienne thî cri-th
ᖪ,Syllabe canadienne tho cri-th
ᖫ,Syllabe canadienne thô cri-th
ᖬ,Syllabe canadienne tha cri-th
ᖭ,Syllabe canadienne thâ cri-th
ᖮ,Syllabe canadienne th cri-th
ᖯ,Syllabe canadienne b aïvilik
ᖰ,Syllabe canadienne é pied-noir
ᖱ,Syllabe canadienne i pied-noir
ᖲ,Syllabe canadienne o pied-noir
ᖳ,Syllabe canadienne a pied-noir
ᖴ,Syllabe canadienne oué pied-noir
ᖵ,Syllabe canadienne oui pied-noir
ᖶ,Syllabe canadienne ouo pied-noir
ᖷ,Syllabe canadienne oua pied-noir
ᖸ,Syllabe canadienne né pied-noir
ᖹ,Syllabe canadienne ni pied-noir
ᖺ,Syllabe canadienne no pied-noir
ᖻ,Syllabe canadienne na pied-noir
ᖼ,Syllabe canadienne ké pied-noir
ᖽ,Syllabe canadienne ki pied-noir
ᖾ,Syllabe canadienne ko pied-noir
ᖿ,Syllabe canadienne ka pied-noir
ᗀ,Syllabe canadienne hé sayissi
ᗁ,Syllabe canadienne hi sayissi
ᗂ,Syllabe canadienne ho sayissi
ᗃ,Syllabe canadienne ha sayissi
ᗄ,Syllabe canadienne ghou porteur
ᗅ,Syllabe canadienne gho porteur
